,-0.00,0
937251,500.00,0.00,0
937253,500.00,65.27,0
937256,333.33,6132.75,0
937259,333.33,-0.00,0
937262,333.33,-0.00,0
937264,500.00,-0.00,0
937266,500.00,10573.73,0
937269,333.33,0.00,0
937271,500.00,0.00,0
937274,333.33,65.26,0
937276,500.00,-10573.71,0
937279,333.33,-0.00,0
937281,500.00,-0.00,0
937284,333.33,-0.00,0
937286,500.00,2643.64,0
937289,333.33,7046.49,0
937291,500.00,0.00,0
937293,500.00,7081.13,0
937296,333.33,-5231.92,0
937299,333.33,-0.00,0
937302,333.33,-0.00,0
937304,500.00,-106.56,0
937307,333.33,10573.73,0
937310,333.33,0.00,0
937312,500.00,0.00,0
937314,500.00,7294.26,0
937317,333.33,2643.64,0
937319,500.00,-0.00,0
937322,333.33,-0.00,0
937324,500.00,-426.25,0
937327,333.33,2643.64,0
937329,500.00,0.00,0
937332,500.00,0.00,0
937334,333.33,7053.82,0
937336,500.00,-2643.43,0
937339,333.33,-0.00,0
937341,500.00,-0.00,0
937345,250.00,9696.79,0
937347,500.00,6032.79,0
937350,333.33,0.00,0
937352,500.00,0.00,0
937355,500.00,7150.06,0
937357,333.33,-12264.98,0
937360,333.33,-0.00,0
937362,500.00,-0.00,0
937365,333.33,2643.64,0
937367,500.00,-6559.01,0
937370,333.33,0.00,0
937372,500.00,0.00,0
937374,500.00,-5445.05,0
937377,333.33,6139.37,0
937380,333.33,-0.00,0
937382,500.00,-0.00,0
937384,500.00,6139.36,0
937388,250.00,-6586.26,0
937391,333.33,0.00,0
937393,500.00,0.00,0
937395,500.00,-5231.92,0
937398,333.33,-6074.10,0
937400,500.00,-0.00,0
937403,333.33,-0.00,0
937405,500.00,6139.36,0
937408,333.33,-13544.15,0
937411,500.00,0.00,0
937413,333.33,467.50,0
937415,500.00,2643.64,0
937418,333.33,-6820.04,0
937421,500.00,-0.00,0
937423,333.33,-0.00,0
937425,500.00,-5231.92,0
937428,333.33,7074.43,0
937431,333.33,0.00,0
937434,333.33,96.24,0
937436,500.00,-12264.98,0
937439,333.33,-0.00,0
937441,500.00,-0.00,0
937444,333.33,-0.00,0
937446,500.00,-5286.85,0
937449,333.33,26.64,0
937451,500.00,0.00,0
937453,500.00,7043.49,0
937456,333.33,-5231.92,0
937459,333.33,-0.00,0
937461,500.00,-0.00,0
937463,500.00,-0.00,0
937466,333.33,-10573.71,0
937469,500.00,0.00,0
937472,250.00,0.00,0
937474,500.00,911.16,0
937477,333.33,-10570.40,0
937479,500.00,-0.00,0
937482,333.33,-0.00,0
937484,500.00,-106.56,0
937487,333.33,5286.87,0
937489,500.00,0.00,0
937492,333.33,0.00,0
937494,500.00,-12691.23,0
937497,333.33,2643.64,0
937499,500.00,-0.00,0
937502,333.33,-0.00,0
937504,500.00,6393.75,0
937507,500.00,7057.15,0
937509,333.33,0.00,0
937511,500.00,0.00,0
937515,250.00,65.27,0
937517,500.00,12265.09,0
937520,333.33,-0.00,0
937522,500.00,-0.00,0
937525,500.00,-6927.04,0
937527,333.33,4327.78,0
937530,333.33,0.00,0
937532,500.00,0.00,0
937534,500.00,938.63,0
937537,333.33,12265.09,0
937539,500.00,-0.00,0
937542,333.33,-0.00,0
937544,500.00,13172.53,0
937547,333.33,7129.40,0
937549,500.00,0.00,0
937552,333.33,0.00,0
937554,500.00,-2643.43,0
937558,250.00,12265.09,0
937560,500.00,-0.00,0
937563,333.33,-0.00,0
937565,500.00,12265.09,0
937568,333.33,7057.15,0
937570,500.00,0.00,0
937573,333.33,0.00,0
937575,500.00,6132.75,0
937577,500.00,10573.79,0
937580,333.33,-0.00,0
937582,500.00,-0.00,0
937585,333.33,-5231.92,0
937588,500.00,7981.91,0
937590,333.33,0.00,0
937592,500.00,0.00,0
937595,333.33,10573.73,0
937597,500.00,11082.57,0
937601,250.00,-0.00,0
937603,500.00,-0.00,0
937606,333.33,-2643.43,0
937608,500.00,7043.39,0
937611,333.33,0.00,0
937613,500.00,10.33,0
937616,333.33,5286.87,0
937618,500.00,-0.00,0
937621,333.33,-0.00,0
937623,500.00,-0.00,0
